State,Region,Life Exp,Per capita expenditure on health ($),Over 60 (%),Annual growth rate (%),Living in urban (%),Total fertility rate (per woman),Adolescent fertility rate (per 1000 women),Longitude
Fiji,Asia&Oceanania,69,139,7,0.7,52,2.8,30,175
Finland,Europe,79,3232,23,0.3,63,1.8,9,26
France,Europe,81,3937,22,0.5,77,1.9,8,2
Gabon,Africa,59,351,7,1.8,85,3.1,57,11.75
Gambia,Africa,59,15,6,3.2,56,4.8,104,-16.5667
Georgia,Asia&Oceanania,72,147,18,-1.1,53,1.4,37,43.5
Germany,Europe,80,3718,25,0.1,74,1.4,10,9
Ghana,Africa,57,33,6,2.2,49,3.9,74,-2
Greece,Europe,80,2280,24,0.3,61,1.3,11,22
Grenada,LatinAmerica,68,333,9,0.6,31,2.3,53,-61.6667
Guatemala,LatinAmerica,69,143,6,2.4,48,4.2,92,-61.5833
Guinea,Africa,54,20,5,1.9,34,5.5,153,-10
Guinea-Bissau,Africa,48,12,5,3,30,7.1,170,-15
Guyana,LatinAmerica,60,72,9,0,28,2.3,90,-59
Haiti,LatinAmerica,62,42,6,1.7,46,3.6,69,-72.4167
Honduras,LatinAmerica,71,99,6,2,47,3.3,108,-86.5
Hungary,Europe,73,929,21,-0.3,67,1.3,20,20
Iceland,Europe,82,4994,16,1,92,2,14,-18
India,Asia&Oceanania,64,29,8,1.6,29,2.8,45,77
Indonesia,Asia&Oceanania,68,39,9,1.3,50,2.2,54,120
Iran (Islamic Republic of),Asia&Oceanania,72,215,6,1.1,68,2,25,53
Iraq,MiddleEast,63,62,5,2.3,67,4.3,68,44
Ireland,Europe,80,3871,16,1.6,61,2,17,-8
Israel,MiddleEast,81,1675,14,2,92,2.8,15,34.75
Italy,Europe,82,2813,26,0.2,68,1.4,7,12.8333
Jamaica,LatinAmerica,72,180,10,0.7,53,2.5,58,-77.5
Japan,Asia&Oceanania,83,2759,28,0.1,66,1.3,5,138
Jordan,MiddleEast,72,238,5,2.7,78,3.1,28,36
Kazakhstan,Asia&Oceanania,64,190,10,0,58,2.3,27,68
Kenya,Africa,54,29,4,2.6,21,5,116,38
Kiribati,Asia&Oceanania,65,121,7,1.8,44,4.1,39,173
Kuwait,MiddleEast,78,803,3,4.4,98,2.2,14,47.6581
Kyrgyzstan,Asia&Oceanania,66,35,7,1.2,36,2.5,28,75
Lao People's Democratic Republic,Asia&Oceanania,61,24,5,1.7,30,3.2,110,105
Latvia,Europe,71,582,23,-0.7,68,1.3,17,25
Lebanon,MiddleEast,70,494,10,1.2,87,2.2,18,35.8333
Lesotho,Africa,45,51,7,1.2,25,3.4,98,28.5
Liberia,Africa,56,7,4,4.1,60,6.8,137,-9.5
Libyan Arab Jamahiriya,Africa,72,219,6,2,77,2.8,4,17
Lithuania,Europe,71,547,21,-0.5,67,1.3,19,24
Luxembourg,Europe,80,6506,19,1,83,1.7,10,6.1667
Madagascar,Africa,59,9,5,2.8,29,4.8,154,47
Malawi,Africa,50,21,5,2.7,18,5.6,178,34
Malaysia,Asia&Oceanania,72,259,7,2,70,2.6,13,112.5
Maldives,Asia&Oceanania,73,245,6,1.7,37,2.6,8,73
Mali,Africa,49,31,5,2.9,32,6.5,190,-4
Malta,Europe,80,1308,20,0.6,94,1.4,17,14.5833
Marshall Islands,Asia&Oceanania,58,358,7,1.4,71,3.8,88,168
Mauritania,Africa,58,19,5,2.8,41,4.4,88,-12
Mauritius,Africa,73,230,10,0.9,42,1.9,35,57.55
Mexico,LatinAmerica,76,527,9,1.1,77,2.2,82,-102
Micronesia (Federated States of),Asia&Oceanania,69,284,5,0.3,22,3.8,51,158.25
Monaco,Europe,81,6353,22,0.3,100,1.8,57,7.4
Mongolia,Asia&Oceanania,64,70,6,0.8,57,1.9,19,105
Montenegro,Europe,74,348,19,-0.8,61,1.8,16,19
Morocco,Africa,72,113,8,1.2,56,2.4,18,-5
Mozambique,Africa,48,16,5,2.4,36,5.2,185,35
Myanmar,Asia&Oceanania,56,5,8,1,32,2.1,57,98
Namibia,Africa,59,174,5,1.7,36,3.2,51,17
Nauru,Asia&Oceanania,61,758,7,0.1,100,3,69,166.9167
Nepal,Asia&Oceanania,63,17,6,2.1,17,3.3,106,84
Netherlands,Europe,80,3872,20,0.5,81,1.7,4,5.75
New Zealand,Asia&Oceanania,81,2421,17,1.1,86,2,29,174
Nicaragua,LatinAmerica,73,92,6,1.4,56,2.8,109,-85
Niger,Africa,51,16,5,3.5,16,7.2,199,8
Nigeria,Africa,49,33,5,2.5,48,5.4,126,8
Niue,Asia&Oceanania,70,1043,8,-3.1,38,3,28,-169.8667
Norway,Europe,81,6267,20,0.6,77,1.8,9,10
Oman,MiddleEast,74,332,4,1.3,72,3,11,57
Pakistan,Asia&Oceanania,63,16,6,2,36,3.5,20,70
Palau,Asia&Oceanania,72,811,7,1.2,79,2.5,31,134.5
Panama,LatinAmerica,76,380,9,1.8,73,2.6,85,-80
Papua New Guinea,Asia&Oceanania,63,29,4,2.4,12,3.8,70,147
Paraguay,LatinAmerica,74,117,7,2,60,3.1,65,-58
Peru,LatinAmerica,76,149,8,1.3,71,2.5,59,-76
Philippines,Asia&Oceanania,71,52,6,2.1,64,3.3,55,122
Poland,Europe,75,555,18,-0.1,61,1.2,13,20
Portugal,Europe,79,1864,22,0.5,59,1.5,17,-8
Qatar,MiddleEast,76,2759,3,4.2,96,2.7,16,51.25
Republic of Korea,Asia&Oceanania,79,1168,15,0.5,81,1.2,2,127.5
Republic of Moldova,Europe,69,90,15,-1.3,42,1.4,25,29
Romania,Europe,73,256,20,-0.5,54,1.3,35,25
Russian Federation,Europe,66,367,17,-0.4,73,1.3,28,100
Rwanda,Africa,50,33,4,4.2,18,5.9,40,30
Saint Kitts and Nevis,LatinAmerica,72,570,11,1.3,32,2.3,74,-62.75
Saint Lucia,LatinAmerica,75,350,10,1,28,2.2,49,-61.1333
Saint Vincent and the Grenadines,LatinAmerica,70,230,9,0.5,47,2.2,57,-61.2
Samoa,Asia&Oceanania,68,117,7,0.8,23,4,29,-172.3333
San Marino,Europe,82,3527,26,1.7,94,1.3,1,12.4167
Sao Tome and Principe,Africa,61,49,6,1.7,60,3.9,91,7
Saudi Arabia,MiddleEast,71,492,4,2.5,81,3.4,7,45
Senegal,Africa,59,44,6,2.6,42,4.7,100,-14
Serbia,Europe,73,336,19,-0.4,52,1.8,24,21
Seychelles,Africa,71,565,10,1.1,54,1.7,54,55.6667
Sierra Leone,Africa,41,12,5,3.3,37,6.5,98,-11.5
Singapore,Asia&Oceanania,81,1017,14,1.8,100,1.3,6,103.8
Slovakia,Europe,75,735,17,0,56,1.2,21,19.5
Slovenia,Europe,78,1607,21,0.1,49,1.3,5,15
Solomon Islands,Asia&Oceanania,67,44,5,2.6,18,3.9,57,159
Somalia,Africa,52,825,4,3,36,6.1,123,49
South Africa,Africa,54,425,7,1.2,60,2.7,54,24
Spain,Europe,81,2328,22,1.1,77,1.4,12,-4
Sri Lanka,Asia&Oceanania,71,62,10,0.5,15,1.9,28,81
Sudan,Africa,58,37,6,2.2,43,4.3,57,30
Suriname,LatinAmerica,69,250,9,0.8,75,2.4,63,-56
Swaziland,Africa,48,155,5,1.3,25,3.5,111,31.5
Sweden,Europe,81,3973,24,0.3,84,1.8,6,15
Switzerland,Europe,82,5660,22,0.4,73,1.4,4,8
Syrian Arab Republic,MiddleEast,72,66,5,2.6,54,3.1,75,38
Tajikistan,Asia&Oceanania,67,21,5,1.3,26,3.4,27,71
Thailand,Asia&Oceanania,70,113,12,0.8,33,1.8,46,100
The former Yugoslav Republic of Macedonia,Europe,74,249,16,0.3,66,1.4,19,22
Timor-Leste,Asia&Oceanania,61,52,5,3.3,27,6.6,59,125.5167
Togo,Africa,58,21,5,3.1,41,4.9,57,1.1667
Tonga,Asia&Oceanania,70,114,9,0.3,24,3.8,16,-175
Trinidad and Tobago,LatinAmerica,69,600,10,0.4,13,1.6,35,-61
Tunisia,Africa,74,156,9,1.1,66,1.9,6,9
Turkey,MiddleEast,73,352,8,1.4,68,2.1,51,35
Turkmenistan,Asia&Oceanania,63,146,6,1.4,48,2.5,20,60
Tuvalu,Asia&Oceanania,65,280,8,0.6,49,3,22,178
Uganda,Africa,48,24,4,3.1,13,6.5,159,32
Ukraine,Europe,68,160,21,-0.8,68,1.2,30,32
United Arab Emirates,MiddleEast,78,1018,2,4.7,78,2.3,23,54
United Kingdom,Europe,80,3332,22,0.4,90,1.8,26,-2
United Republic of Tanzania,Africa,52,23,5,2.5,25,5.2,139,35
United States of America,NorthAmerica,78,6719,17,1,81,2.1,41,-97
Uruguay,LatinAmerica,75,476,18,0.2,92,2.1,63,-56
Uzbekistan,Asia&Oceanania,68,30,6,1.4,37,2.5,26,64
Vanuatu,Asia&Oceanania,69,67,5,2.3,24,3.8,57,167
Venezuela (Bolivarian Republic of),LatinAmerica,75,332,8,1.8,93,2.6,91,-66
Viet Nam,Asia&Oceanania,72,46,8,1.4,27,2.2,35,106
Yemen,MiddleEast,64,40,4,3,30,5.5,80,48
Zambia,Africa,46,58,5,2,35,5.2,146,30
Zimbabwe,Africa,45,38,5,0.9,37,3.2,101,30
