,State,Region,Life.Exp,Per.capita.expenditure.on.health....,Over.60....,Annual.growth.rate....,Living.in.urban....,Total.fertility.rate..per.woman.,Adolescent.fertility.rate..per.1000.women.,Longitude,kmeans.proj$cluster
150,Saudi Arabia,MiddleEast,71,492,4,2.5,81,3.4,7,45,2
151,Senegal,Africa,59,44,6,2.6,42,4.7,100,-14,2
152,Serbia,Europe,73,336,19,-0.4,52,1.8,24,21,2
153,Seychelles,Africa,71,565,10,1.1,54,1.7,54,55.6667,1
154,Sierra Leone,Africa,41,12,5,3.3,37,6.5,98,-11.5,2
155,Singapore,Asia&Oceanania,81,1017,14,1.8,100,1.3,6,103.8,1
156,Slovakia,Europe,75,735,17,0,56,1.2,21,19.5,1
157,Slovenia,Europe,78,1607,21,0.1,49,1.3,5,15,1
158,Solomon Islands,Asia&Oceanania,67,44,5,2.6,18,3.9,57,159,2
159,Somalia,Africa,52,825,4,3,36,6.1,123,49,1
160,South Africa,Africa,54,425,7,1.2,60,2.7,54,24,2
161,Spain,Europe,81,2328,22,1.1,77,1.4,12,-4,3
162,Sri Lanka,Asia&Oceanania,71,62,10,0.5,15,1.9,28,81,2
163,Sudan,Africa,58,37,6,2.2,43,4.3,57,30,2
164,Suriname,LatinAmerica,69,250,9,0.8,75,2.4,63,-56,2
165,Swaziland,Africa,48,155,5,1.3,25,3.5,111,31.5,2
166,Sweden,Europe,81,3973,24,0.3,84,1.8,6,15,3
167,Switzerland,Europe,82,5660,22,0.4,73,1.4,4,8,4
168,Syrian Arab Republic,MiddleEast,72,66,5,2.6,54,3.1,75,38,2
169,Tajikistan,Asia&Oceanania,67,21,5,1.3,26,3.4,27,71,2
170,Thailand,Asia&Oceanania,70,113,12,0.8,33,1.8,46,100,2
171,The former Yugoslav Republic of Macedonia,Europe,74,249,16,0.3,66,1.4,19,22,2
172,Timor-Leste,Asia&Oceanania,61,52,5,3.3,27,6.6,59,125.5167,2
173,Togo,Africa,58,21,5,3.1,41,4.9,57,1.1667,2
174,Tonga,Asia&Oceanania,70,114,9,0.3,24,3.8,16,-175,2
175,Trinidad and Tobago,LatinAmerica,69,600,10,0.4,13,1.6,35,-61,1
176,Tunisia,Africa,74,156,9,1.1,66,1.9,6,9,2
177,Turkey,MiddleEast,73,352,8,1.4,68,2.1,51,35,2
178,Turkmenistan,Asia&Oceanania,63,146,6,1.4,48,2.5,20,60,2
179,Tuvalu,Asia&Oceanania,65,280,8,0.6,49,3,22,178,2
180,Uganda,Africa,48,24,4,3.1,13,6.5,159,32,2
181,Ukraine,Europe,68,160,21,-0.8,68,1.2,30,32,2
182,United Arab Emirates,MiddleEast,78,1018,2,4.7,78,2.3,23,54,1
183,United Kingdom,Europe,80,3332,22,0.4,90,1.8,26,-2,3
184,United Republic of Tanzania,Africa,52,23,5,2.5,25,5.2,139,35,2
185,United States of America,NorthAmerica,78,6719,17,1,81,2.1,41,-97,4
186,Uruguay,LatinAmerica,75,476,18,0.2,92,2.1,63,-56,2
187,Uzbekistan,Asia&Oceanania,68,30,6,1.4,37,2.5,26,64,2
188,Vanuatu,Asia&Oceanania,69,67,5,2.3,24,3.8,57,167,2
189,Venezuela (Bolivarian Republic of),LatinAmerica,75,332,8,1.8,93,2.6,91,-66,2
190,Viet Nam,Asia&Oceanania,72,46,8,1.4,27,2.2,35,106,2
191,Yemen,MiddleEast,64,40,4,3,30,5.5,80,48,2
192,Zambia,Africa,46,58,5,2,35,5.2,146,30,2
193,Zimbabwe,Africa,45,38,5,0.9,37,3.2,101,30,2
